start_date,end_date,start_time,end_time,Open,High,Low,Close,Volume,dollar
2015-02-13,2015-02-13,12:08:01.812,12:23:27.911,126.19,126.24,126.02,126.24,792654,100009028.47490081
2015-02-13,2015-02-13,12:23:27.911,12:33:15.117,126.24,126.34,126.17,126.236,791925,100001550.56950073
2015-02-13,2015-02-13,12:33:15.176,12:50:17.027,126.239,126.319,126.19,126.26,792359,100041056.39850058
2015-02-13,2015-02-13,12:50:17.027,13:06:43.237,126.26,126.3,126.11,126.2473,794001,100255674.10400078
2015-02-13,2015-02-13,13:06:43.251,13:14:02.120,126.25,126.49,126.23,126.49,789205,100001930.20300102
2015-02-13,2015-02-13,13:14:02.121,13:24:55.572,126.49,126.51,126.25,126.25,791999,100061607.08580124
2015-02-13,2015-02-13,13:24:55.578,13:32:06.957,126.25,126.29,125.88,125.8861,793230,100074248.36790127
2015-02-13,2015-02-13,13:32:07.000,13:37:11.054,125.8833,125.94,125.66,125.81,794375,100010941.88240123
2015-02-13,2015-02-13,13:37:11.055,13:46:24.813,125.81,125.99,125.77,125.88,794302,100005654.75590134
2015-02-13,2015-02-13,13:46:24.813,13:57:33.940,125.88,126.05,125.82,125.93,794550,100073746.7154014
2015-02-13,2015-02-13,13:57:34.029,14:12:28.501,125.94,125.98,125.7802,125.929,795880,100272475.35600127
2015-02-13,2015-02-13,14:12:30.809,14:25:39.053,125.92,126.0799,125.77,126.05,792025,100005652.25120127
2015-02-13,2015-02-13,14:25:39.055,14:38:39.743,126.05,126.13,125.93,125.99,793453,100007569.97670144
2015-02-13,2015-02-13,14:38:39.743,14:47:46.248,125.99,126.29,125.96,126.27,792794,100012819.83890152
2015-02-13,2015-02-13,14:47:46.248,14:59:29.616,126.27,126.31,126.15,126.29,792428,100061623.3301015
2015-02-13,2015-02-13,14:59:29.616,15:05:32.097,126.29,126.56,126.2,126.56,790902,100017043.02750152
2015-02-13,2015-02-13,15:05:32.098,15:08:23.565,126.56,126.72,126.3399,126.63,789786,100016046.58950153
2015-02-13,2015-02-13,15:08:23.566,15:15:52.078,126.63,126.69,126.33,126.5,790121,100031025.08010148
2015-02-13,2015-02-13,15:15:52.078,15:24:03.633,126.5,126.7,126.49,126.6859,791054,100169030.6216015
2015-02-13,2015-02-13,15:24:03.828,15:30:05.081,126.6999,126.8,126.64,126.69,787831,100017040.65510161
2015-02-13,2015-02-13,15:30:05.200,15:36:28.893,126.69,126.89,126.635,126.8801,788946,100033311.55790155
2015-02-13,2015-02-13,15:36:28.898,15:41:03.104,126.89,126.93,126.5351,126.92,788565,100096724.62800165
2015-02-13,2015-02-13,15:41:03.104,15:43:01.475,126.92,127.03,126.91,127.02,786830,100007136.66110162
2015-02-13,2015-02-13,15:43:01.477,15:44:55.314,127.02,127.13,127.01,127.12,786985,100012143.15450156
2015-02-13,2015-02-13,15:44:55.317,15:47:13.590,127.12,127.18,127.07,127.13,786661,100028910.17870134
2015-02-13,2015-02-13,15:47:13.591,15:49:58.040,127.13,127.15,127.02,127.15,792430,100740412.4730012
2015-02-13,2015-02-13,15:49:58.040,15:52:00.983,127.15,127.23,127.05,127.08,780719,100005148.91820118
2015-02-13,2015-02-13,15:52:00.983,15:55:53.682,127.08,127.11,127.03,127.05,787007,100011540.32740116
2015-02-13,2015-02-13,15:55:53.682,15:58:11.104,127.05,127.07,127.01,127.04,787122,100004567.35980132
2015-02-13,2015-02-13,15:58:11.106,15:59:30.363,127.03,127.09,127.02,127.04,787116,100006610.06580138
2015-02-13,2015-02-13,15:59:30.363,16:00:00.167,127.04,127.08,127.02,127.08,1677306,213143887.28610146
2015-02-13,2015-02-13,16:00:00.167,16:00:00.167,127.08,127.08,127.08,127.08,1238522,270535263.04610145
2015-02-13,2015-02-13,16:00:00.379,16:00:00.379,127.07,127.07,127.07,127.07,100,170547970.04610145
2015-02-13,2015-02-13,16:00:00.379,16:05:01.829,127.05,127.08,127.03,127.05,232072,100038771.68610144
2015-02-13,2015-02-13,16:05:02.578,16:17:47.326,127.05,127.08,126.153,127.0,1881820,238881849.8414014
2015-02-13,2015-02-13,16:17:47.780,16:17:47.780,127.02,127.02,127.02,127.02,491,138944216.6614014
2015-02-13,2015-02-13,16:17:47.780,17:52:10.014,127.02,127.14,126.075,127.08,481836,100091184.59410141
2015-02-13,2015-02-17,17:53:05.939,8:40:21.739,127.12,128.5,126.35,127.81,782612,100081460.24250145
2015-02-17,2015-02-17,8:40:21.739,9:30:00.402,127.83,127.85,127.35,127.47,1289973,164599158.03450146
2015-02-17,2015-02-17,9:30:00.403,9:30:00.403,127.47,127.47,127.47,127.47,788538,165114096.89450145
2015-02-17,2015-02-17,9:30:00.407,9:30:17.181,127.46,127.49,127.25,127.2661,274303,100050699.57760131
2015-02-17,2015-02-17,9:30:17.659,9:31:45.115,127.26,127.83,127.2,127.77,784497,100104545.4770013
2015-02-17,2015-02-17,9:31:45.220,9:33:32.848,127.77,127.89,127.47,127.69,782031,100026498.88690136
2015-02-17,2015-02-17,9:33:33.049,9:35:45.485,127.7,127.75,127.41,127.41,783783,100043470.75420143
2015-02-17,2015-02-17,9:35:45.485,9:37:43.383,127.41,127.4399,127.28,127.39,785379,100059438.03420156
2015-02-17,2015-02-17,9:37:43.383,9:39:56.412,127.39,127.39,127.0,127.0,785723,100033678.39150186
2015-02-17,2015-02-17,9:39:56.412,9:42:19.688,127.0,127.48,127.0,127.48,785732,100006888.20860182
2015-02-17,2015-02-17,9:42:19.946,9:45:02.908,127.475,127.48,126.97,127.0,785796,100011342.27960172
2015-02-17,2015-02-17,9:45:02.908,9:48:10.087,126.98,127.23,126.92,127.1,786835,100009299.55730157
2015-02-17,2015-02-17,9:48:10.087,9:51:01.042,127.1,127.46,127.08,127.3669,785739,100050893.4270015
2015-02-17,2015-02-17,9:51:01.044,9:54:38.620,127.3669,127.63,127.2401,127.5999,786155,100242528.57920149
